"STUDY_ID","ABUNDANCE","BIOMASS","YEAR","LATITUDE","LONGITUDE","PLOT","DEPTH","SAMPLE_DESC","GENUS_SPECIES"
"516","24","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_29_1_1997_7_1_4*147","Carollia perspicillata"
"516","3","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_29_1_1997_7_1_4*147","Desmodus rotundus"
"516","1","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_29_1_1997_7_1_4*147","Lophostoma silvicolum"
"516","1","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_29_1_1997_7_1_4*147","Lonchopylla thomasi"
"516","3","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_29_1_1997_7_1_4*147","Pteronotus parnellii"
"516","3","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_29_1_1997_7_1_4*147","Rhinophylla pumilio"
"516","6","0","1997","-2.337129","-60.100839","3","0","-2.33712880255_-60.1008391908_fragment.interior_1ha_dry_30_1_1997_8_1_3*147","Carollia perspicillata"
"516","1","0","1997","-2.337129","-60.100839","3","0","-2.33712880255_-60.1008391908_fragment.interior_1ha_dry_30_1_1997_8_1_3*147","Pteronotus parnellii"
"516","2","0","1997","-2.337129","-60.100839","3","0","-2.33712880255_-60.1008391908_fragment.interior_1ha_dry_30_1_1997_8_1_3*147","Rhinophylla pumilio"
"516","2","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Artibeus obscurus"
"516","1","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Carollia brevicauda"
"516","1","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Chiroderma trinitatum"
"516","2","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Mesophylla macconnelli"
"516","2","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Pteronotus parnellii"
"516","1","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Phylloderma stenops"
"516","5","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Rhinophylla pumilio"
"516","1","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_31_1_1997_9_1_15*147","Tonatia saurophila"
"516","2","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_1_2_1997_10_1_6*147","Artibeus lituratus"
"516","12","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_1_2_1997_10_1_6*147","Carollia perspicillata"
"516","1","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_1_2_1997_10_1_6*147","Micronycteris megalotis"
"516","5","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_1_2_1997_10_1_6*147","Rhinophylla pumilio"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Artibeus concolor"
"516","2","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Artibeus obscurus"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Artibeus planirostris"
"516","2","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Carollia brevicauda"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Choeroniscus minor"
"516","27","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Carollia perspicillata"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Glyphonycteris sylvestris"
"516","2","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Phyllostomus elongatus"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Pteronotus parnellii"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Rhinophylla pumilio"
"516","6","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_dry_2_2_1997_11_1_13*147","Trachops cirrhosus"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_dry_3_2_1997_12_1_12*147","Artibeus planirostris"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_dry_3_2_1997_12_1_12*147","Carollia brevicauda"
"516","22","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_dry_3_2_1997_12_1_12*147","Carollia perspicillata"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_dry_3_2_1997_12_1_12*147","Pteronotus parnellii"
"516","5","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_dry_3_2_1997_12_1_12*147","Rhinophylla pumilio"
"516","2","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_dry_3_2_1997_12_1_12*147","Sturnira tildae"
"516","2","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_dry_3_2_1997_12_1_12*147","Trachops cirrhosus"
"516","1","0","1997","-2.406267","-59.876067","1","0","-2.40626713361_-59.8760667727_fragment.interior_1ha_dry_4_2_1997_13_1_1*147","Artibeus planirostris"
"516","6","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_dry_5_2_1997_14_1_2*147","Carollia perspicillata"
"516","4","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_dry_5_2_1997_14_1_2*147","Mimon crenulatum"
"516","1","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_dry_5_2_1997_14_1_2*147","Rhinophylla pumilio"
"516","1","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_dry_5_2_1997_14_1_2*147","Sturnira lilium"
"516","1","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_6_2_1997_15_1_4*147","Artibeus cinereus"
"516","1","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_6_2_1997_15_1_4*147","Artibeus planirostris"
"516","7","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_6_2_1997_15_1_4*147","Carollia perspicillata"
"516","2","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_6_2_1997_15_1_4*147","Desmodus rotundus"
"516","1","0","1997","-2.336515","-60.113215","4","0","-2.33651521306_-60.1132147282_fragment.interior_10ha_dry_6_2_1997_15_1_4*147","Lophostoma silvicolum"
"516","2","0","1997","-2.337129","-60.100839","3","0","-2.33712880255_-60.1008391908_fragment.interior_1ha_dry_7_2_1997_16_1_3*147","Artibeus planirostris"
"516","2","0","1997","-2.337129","-60.100839","3","0","-2.33712880255_-60.1008391908_fragment.interior_1ha_dry_7_2_1997_16_1_3*147","Carollia perspicillata"
"516","1","0","1997","-2.337129","-60.100839","3","0","-2.33712880255_-60.1008391908_fragment.interior_1ha_dry_7_2_1997_16_1_3*147","Desmodus rotundus"
"516","1","0","1997","-2.337129","-60.100839","3","0","-2.33712880255_-60.1008391908_fragment.interior_1ha_dry_7_2_1997_16_1_3*147","Pteronotus parnellii"
"516","1","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Artibeus cinereus"
"516","1","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Artibeus lituratus"
"516","1","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Artibeus obscurus"
"516","2","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Artibeus planirostris"
"516","6","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Carollia perspicillata"
"516","1","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Lophostoma silvicolum"
"516","2","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Lonchopylla thomasi"
"516","1","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Phyllostomus discolor"
"516","4","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Pteronotus parnellii"
"516","3","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_dry_8_2_1997_17_1_7*147","Rhinophylla pumilio"
"516","2","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_9_2_1997_18_1_6*147","Artibeus cinereus"
"516","4","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_9_2_1997_18_1_6*147","Carollia perspicillata"
"516","9","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_9_2_1997_18_1_6*147","Lophostoma silvicolum"
"516","1","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_9_2_1997_18_1_6*147","Rhinophylla pumilio"
"516","1","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_dry_9_2_1997_18_1_6*147","Sturnira tildae"
"516","1","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Artibeus cinereus"
"516","1","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Artibeus gnomus"
"516","1","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Artibeus planirostris"
"516","3","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Carollia brevicauda"
"516","2","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Carollia perspicillata"
"516","2","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Lophostoma schulzi"
"516","3","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Lophostoma silvicolum"
"516","1","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Lonchopylla thomasi"
"516","1","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Mimon crenulatum"
"516","2","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Pteronotus parnellii"
"516","2","0","1997","-2.445905","-59.758385","16","0","-2.44590499295_-59.7583853209_continuous.forest_NA_dry_10_2_1997_19_1_16*147","Rhinophylla pumilio"
"516","1","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_11_2_1997_20_1_15*147","Carollia perspicillata"
"516","1","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_11_2_1997_20_1_15*147","Lophostoma silvicolum"
"516","1","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_11_2_1997_20_1_15*147","Mesophylla macconnelli"
"516","2","0","1997","-2.447695","-59.771802","15","0","-2.44769456974_-59.7718017695_continuous.forest_NA_dry_11_2_1997_20_1_15*147","Rhinophylla pumilio"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Artibeus cinereus"
"516","2","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Artibeus planirostris"
"516","2","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Carollia brevicauda"
"516","25","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Carollia perspicillata"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Desmodus rotundus"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Glyphonycteris sylvestris"
"516","1","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Lophostoma silvicolum"
"516","2","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Lonchopylla thomasi"
"516","2","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Phyllostomus elongatus"
"516","3","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Pteronotus parnellii"
"516","7","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Rhinophylla pumilio"
"516","9","0","1997","-2.383808","-59.860724","13","0","-2.38380773192_-59.8607242643_continuous.forest_NA_rainy_12_2_1997_21_1_13*147","Trachops cirrhosus"
"516","2","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Artibeus cinereus"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Artibeus lituratus"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Artibeus obscurus"
